,shap_value
coolant_ewma_1500,0.0027661793722227926
coolant_ewma_4000,0.0025688621565933827
ambient_ewma_7000,0.0016081543507997448
coolant_ewma_2000,0.0015478078770964387
coolant_ewma_7000,0.001537435316595873
S_x_w_ewma_7000,0.0015294181726133154
coolant,0.0014003867587707103
motor_speed_ewma_4000,0.001252036432514197
ambient_ewma_4000,0.0011714533690357976
S_x_w_ewma_4000,0.0011161946984965569
i_s_x_w_ewma_7000,0.0010118528796692063
S_x_w_ewms_2000,0.0009716626518005192
ambient,0.0009512159445482798
P_el_ewma_4000,0.0009264714766062242
ambient_ewma_2000,0.0007768847424442384
u_d_ewms_4000,0.0007040854524491253
i_d_ewma_1500,0.0006573257892253649
P_el_ewma_1500,0.0006473451214597246
u_d_ewma_2000,0.0006389237106519634
i_d_ewma_2000,0.0006201275821098685
S_el_ewma_2000,0.0006157091362971073
coolant_ewms_1500,0.0006030178445781271
S_el_ewms_4000,0.0005970050268864847
ambient_ewma_1500,0.0005868607994640998
torque_ewma_4000,0.0005829165671942581
i_s_x_w_ewms_4000,0.0005807603341858966
profile_id_ewms_2000,0.0005745340582124888
i_d_ewma_4000,0.0005296510869684485
i_q_ewma_4000,0.0005203669963323701
profile_id_ewms_1500,0.0005077066243917224
i_s_x_w_ewma_2000,0.0005026569794879415
i_q_ewms_1500,0.0005015729327564465
S_el_ewma_4000,0.0004842489919392674
S_x_w_ewms_4000,0.00043023824648642426
profile_id,0.00042574957376021523
motor_speed_ewma_7000,0.0004193370704235112
S_x_w_ewms_7000,0.00041675107006564874
i_q_ewms_7000,0.00040586741825958053
P_el_ewma_7000,0.00038377865630048605
S_el_ewms_1500,0.0003701751727224761
i_q,0.0003650176145216498
profile_id_ewms_4000,0.0003536886250006745
torque_ewms_1500,0.00034274432378097677
profile_id_ewma_4000,0.00034145835066029696
u_q_ewms_7000,0.0003253361759469367
coolant_ewms_7000,0.00032211838011777204
motor_speed_ewma_1500,0.0003114798415072293
i_q_ewma_2000,0.0003103328587234728
i_d_ewms_2000,0.0003088999612357343
torque_ewms_7000,0.0002857751690881081
torque,0.00027418708020361475
S_el_ewms_2000,0.00027343286693079223
i_d,0.0002728696721469267
P_el_ewms_2000,0.00026184608869358084
P_el_ewms_1500,0.0002575076095857504
S_x_w,0.0002531703228117321
u_d,0.0002497185632609389
S_x_w_ewma_1500,0.00024834718105772285
i_q_ewms_2000,0.00024261873184411504
i_q_ewma_1500,0.00023600303199777456
i_d_ewma_7000,0.00023432899082087571
i_s_x_w,0.0002239417121136536
motor_speed_ewms_7000,0.00022244714456382252
S_x_w_ewms_1500,0.00021928747288990397
motor_speed_ewma_2000,0.0002158853704858381
S_el,0.00021516529589378557
u_d_ewma_1500,0.0002126854039559456
profile_id_ewma_2000,0.00021217807169556782
i_s_ewma_4000,0.00020312604094830587
i_s_ewms_4000,0.0002022852436449429
i_s_ewms_1500,0.00020034330157523437
motor_speed_ewms_1500,0.00019976483605872405
torque_ewms_4000,0.00019847002922308943
i_s_ewms_2000,0.00019549134333389428
i_s_x_w_ewms_1500,0.0001951486694737594
ambient_ewms_2000,0.000190651474056284
S_el_ewma_1500,0.00018703541874370413
S_el_ewms_7000,0.000184116767606736
u_q_ewms_1500,0.00018353183307599964
i_q_ewms_4000,0.000181380532751947
u_d_ewma_7000,0.0001769322277289981
u_q_ewms_4000,0.00017291195614632565
P_el,0.0001719434863191209
i_s_ewma_1500,0.00016697520941843965
u_q_ewma_2000,0.00016558966367707746
u_q_ewms_2000,0.00016537379328811731
profile_id_ewma_7000,0.00016145338431739468
u_s_ewms_4000,0.00015888533748229864
S_el_ewma_7000,0.00015778701496128406
i_d_ewms_4000,0.00015776598066111487
i_s_ewma_2000,0.00015767665247200607
u_d_ewms_7000,0.0001565462393647945
u_d_ewms_2000,0.00015273680511814318
u_q_ewma_7000,0.00014540918693956692
P_el_ewma_2000,0.0001446927015634261
i_s_x_w_ewma_4000,0.00014280253323131965
i_s_ewms_7000,0.0001329383194151379
i_d_ewms_1500,0.00013088493909565747
u_q,0.00012908266080604233
ambient_ewms_1500,0.0001226789337937395
motor_speed_ewms_4000,0.00012064064694903187
