,shap_value
coolant_ewma_500,0.019699287407158025
coolant_ewma_2204,0.015220679230858701
coolant,0.01089920559557927
ambient,0.006030444683829713
i_d_ewma_500,0.0048338327980620545
motor_speed_ewma_500,0.004738354237334136
u_d_ewma_2204,0.004511079769629588
S_el_ewma_500,0.003683338015088858
u_d_ewma_9000,0.0036444307487715727
ambient_ewma_6000,0.0035637541090702838
u_d_ewma_500,0.0035215194145411287
profile_id_ewma_6000,0.0033667339989579027
ambient_ewma_9000,0.003300875470100956
S_el_ewms_2204,0.0032571371187477467
ambient_ewma_2204,0.002922191237099227
coolant_ewma_6000,0.0028441317930037323
i_d_ewma_2204,0.002705894548899983
i_s_x_w_ewma_500,0.0026697897944789263
profile_id,0.0026673873298878534
i_d_ewma_9000,0.0024279986578927483
motor_speed_ewma_6000,0.0023964228766636905
S_el_ewma_2204,0.0023299797969735703
u_d,0.0021693285657741245
motor_speed_ewma_9000,0.0021683915591583927
i_s_ewma_500,0.0020821860166805673
i_s_x_w_ewma_6000,0.002036539537002752
profile_id_ewma_2204,0.0020358770638410208
i_s_x_w_ewma_2204,0.0019873264179234
torque_ewms_2204,0.001963532421285007
i_q,0.0018579268291005991
i_s_ewms_2204,0.0017987692843599089
S_x_w,0.0017872564539397845
i_s_ewma_2204,0.001699441049668073
i_s_x_w,0.001696222497958027
i_q_ewms_2204,0.0016647901448497955
i_d_ewma_6000,0.0016431961968106496
i_d,0.0016050537090466666
ambient_ewma_500,0.0015799548688933893
S_x_w_ewma_500,0.0014596956290803408
motor_speed_ewma_2204,0.0014467422755037498
P_el_ewma_500,0.001440283537169227
coolant_ewma_9000,0.0014289773745503585
profile_id_ewma_500,0.0013948704267300255
profile_id_ewms_500,0.0013519058957279376
P_el_ewma_6000,0.0011910853205263042
P_el_ewma_2204,0.0011433708161937637
coolant_ewms_9000,0.0010911280924638966
coolant_ewms_6000,0.0010729827299852629
coolant_ewms_2204,0.0010624411749070063
S_x_w_ewms_2204,0.0010270995632068328
ambient_ewms_500,0.0010199211017699117
i_q_ewms_9000,0.0010157996654130135
u_d_ewma_6000,0.0009866114342072727
u_s_ewms_500,0.000978133121561786
S_x_w_ewma_2204,0.0009766000044855122
u_d_ewms_9000,0.0009521626404321397
motor_speed,0.0009445810850462328
torque_ewms_9000,0.0009196881495113888
u_q_ewma_6000,0.0009099787327616804
coolant_ewms_500,0.0008998252248597028
profile_id_ewma_9000,0.0008993702857222702
P_el_ewms_9000,0.0008968963935180856
P_el,0.0008481447525749051
torque_ewma_6000,0.000832925798170921
S_x_w_ewma_9000,0.0008219885728352041
u_s_ewms_9000,0.0008069917816294803
i_s_x_w_ewms_500,0.0007876942560813247
i_s_x_w_ewms_6000,0.0007820163744309947
u_q_ewms_9000,0.0007649164620218813
i_q_ewma_9000,0.000737082093939917
motor_speed_ewms_2204,0.000679742983717322
P_el_ewma_9000,0.0006769975161071271
i_q_ewms_6000,0.0006732961858111437
torque_ewms_6000,0.0006679635013179423
i_q_ewma_2204,0.0006555233051373597
torque_ewma_2204,0.0006323029044976573
u_d_ewms_6000,0.0006280623624415343
profile_id_ewms_2204,0.0006120096982273322
motor_speed_ewms_500,0.0005729653770486909
i_s,0.0005692373473935407
S_x_w_ewms_9000,0.0005659837257290325
S_x_w_ewms_500,0.0005431162889174064
S_x_w_ewma_6000,0.0005316735411995888
i_s_x_w_ewms_9000,0.0005103828499951578
i_s_ewma_9000,0.0004972566045969898
u_d_ewms_500,0.000493799333759553
S_el_ewma_6000,0.00048549567416828284
S_el_ewma_9000,0.00047480772299835665
i_s_ewms_500,0.00047423219444860207
i_s_x_w_ewms_2204,0.0004717370737150586
u_q_ewms_500,0.0004707665604642224
P_el_ewms_6000,0.00046796254277629005
u_q_ewms_6000,0.0004583386892139342
S_el,0.0004493190078935086
torque_ewma_9000,0.00044548631073974745
u_q_ewma_2204,0.0004393912604244871
i_q_ewma_6000,0.00043416521224979627
u_s_ewms_2204,0.00041424830294720073
u_q,0.00041295992093050516
u_s_ewms_6000,0.00039961255682317414
u_d_ewms_2204,0.00038895700412717294
S_x_w_ewms_6000,0.0003884835715189223
u_q_ewms_2204,0.00038669416749883043
i_d_ewms_2204,0.000380126653778676
i_q_ewma_500,0.00031631652349520066
motor_speed_ewms_6000,0.0003109154309475147
ambient_ewms_6000,0.00030958574191441534
i_s_ewms_9000,0.00030350798676123474
u_q_ewma_9000,0.00029648332195313223
i_s_x_w_ewma_9000,0.0002796632761839699
i_d_ewms_6000,0.00027858451924451735
u_q_ewma_500,0.00026406614075292074
torque,0.00024644540835513397
u_s_ewma_500,0.00024174294559260812
torque_ewma_500,0.00023418853250955167
i_d_ewms_500,0.00021516630298397486
S_el_ewms_6000,0.00020460545140947294
i_s_ewms_6000,0.00020240554805016803
torque_ewms_500,0.00019522828942255426
i_s_ewma_6000,0.00018972534493933596
motor_speed_ewms_9000,0.00018827105283399
u_s_ewma_6000,0.00018596819309828113
i_d_ewms_9000,0.00016716951079378037
P_el_ewms_2204,0.0001668849367765087
u_s_ewma_9000,0.00014347212073263316
ambient_ewms_9000,0.00014021723796109995
profile_id_ewms_6000,0.00013780189193946278
u_s,0.00012538802833394845
P_el_ewms_500,0.0001146155598540175
S_el_ewms_9000,8.258683718702924e-05
i_q_ewms_500,5.420800903289503e-05
S_el_ewms_500,5.242302377381317e-05
ambient_ewms_2204,3.082367551188855e-05
profile_id_ewms_9000,2.4328120850041947e-05
u_s_ewma_2204,2.3309695106103888e-05
