,pm,pm_pred
0,72.12830267471145,[35.515533447265625]
1,72.12307573219697,[35.45823287963867]
2,72.12412874302116,[35.39561080932617]
3,72.12095915937519,[35.33586502075195]
4,72.1239211930459,[35.28227233886719]
5,72.12198778187293,[35.225074768066406]
6,72.1131826437126,[35.166263580322266]
7,72.09886887668638,[35.10874938964844]
8,72.08787255575079,[35.05793762207031]
9,72.08300719559435,[35.01116943359375]
10,72.07679716676157,[34.96933364868164]
11,72.07008828021438,[34.9373664855957]
12,72.07277998915208,[34.911800384521484]
13,72.07523838620035,[34.891151428222656]
14,72.07852199933157,[34.87495422363281]
15,72.06518104334691,[34.861854553222656]
16,72.05758802713791,[34.8520393371582]
17,72.05909279477414,[34.84457778930664]
18,72.0542443657868,[34.83942794799805]
19,72.03898640788536,[34.83414077758789]
20,72.03546874030495,[34.83049774169922]
21,72.03298570530738,[34.82769775390625]
22,72.02717354501281,[34.82597351074219]
23,72.02562657718504,[34.82444381713867]
24,72.02299441367444,[34.82465362548828]
25,72.03111399749488,[34.82612228393555]
26,72.03292696676807,[34.82851028442383]
27,72.02172934773965,[34.830657958984375]
28,72.0149332312874,[34.832672119140625]
29,72.0083646532309,[34.834468841552734]
30,71.995101093629,[34.8361930847168]
31,71.99191789896295,[34.837440490722656]
32,71.98372168354034,[34.83817672729492]
33,71.97828280746067,[34.83757781982422]
34,71.97859397838272,[34.836181640625]
35,71.98298090375293,[34.83366775512695]
36,71.98145316032347,[34.83054733276367]
37,71.97476036926578,[34.82590103149414]
38,71.96879459345095,[34.82212448120117]
39,71.96849512063545,[34.81590270996094]
40,71.96758157440722,[34.8077278137207]
41,71.95360586181704,[34.79267501831055]
42,71.94958330969054,[34.777042388916016]
43,71.9451859988829,[34.757164001464844]
44,71.93795220288064,[34.73868179321289]
45,71.93542323987184,[34.718692779541016]
46,71.92514619300226,[34.706756591796875]
47,71.92480751940823,[34.69849395751953]
48,71.91975053561755,[34.6954460144043]
49,71.90465970568492,[34.69527053833008]
50,71.90132322244632,[34.69336700439453]
