,shap_value
ambient_ewma_8895,0.012797454739936188
coolant_ewma_2161,0.012523687800816816
coolant_ewma_4000,0.011303956043221779
coolant_ewma_8895,0.010782646391322296
coolant,0.009447664943614485
u_d_ewma_4000,0.00847128907858218
ambient_ewma_500,0.0078416130620846
profile_id_ewma_2161,0.0074995951900648375
u_d,0.0074300889030959666
ambient,0.006966028959638778
S_el_ewma_4000,0.00662939492645432
i_s_x_w_ewma_2161,0.006508168820492349
P_el_ewms_8895,0.006491362022409852
torque_ewms_500,0.006328585173798534
ambient_ewma_2161,0.0058388630426625225
torque_ewms_8895,0.00566749026912062
i_s_x_w_ewma_8895,0.005663330764274803
ambient_ewma_4000,0.005364896990379589
i_q_ewma_2161,0.005055654186232052
S_x_w_ewms_2161,0.005053780596972961
i_q_ewms_8895,0.004984725940055577
profile_id_ewma_4000,0.004946179727762483
i_q_ewma_500,0.004803818718858374
i_s_x_w_ewms_2161,0.004694262198595027
motor_speed_ewma_2161,0.004441509474209042
u_d_ewms_2161,0.004434020773393743
i_d_ewma_2161,0.004338898032160698
i_q_ewms_500,0.004083659839184722
u_d_ewms_4000,0.004030042091336946
u_d_ewma_8895,0.0039015716362395545
i_s_x_w,0.003870917749411418
P_el,0.003687000358882604
i_d_ewms_2161,0.003483732356267552
i_q_ewma_4000,0.00339722540258078
S_el_ewma_500,0.003360725974019966
P_el_ewms_500,0.003358280271156504
motor_speed_ewma_8895,0.0032717019234035625
i_d_ewma_4000,0.0032402768463478063
P_el_ewma_4000,0.003198832644831778
profile_id_ewms_500,0.0031016943800034787
torque_ewma_500,0.0030928443933059295
P_el_ewms_2161,0.003066704967038177
u_q_ewms_8895,0.0030212586495500537
i_s_ewms_500,0.0030125808622194447
S_x_w_ewma_4000,0.0029424336644734016
S_x_w_ewma_500,0.002897686069142171
coolant_ewma_500,0.0028839340279913244
i_s_x_w_ewms_4000,0.002744269286246792
u_d_ewms_8895,0.002619510014807876
S_el_ewms_500,0.0025538047697315942
S_x_w,0.0025521309620598473
S_el,0.0025407302433940646
S_el_ewms_8895,0.002522045413084002
u_q_ewma_2161,0.0024835867455094787
S_x_w_ewms_8895,0.0024565285316872167
S_el_ewma_8895,0.0024532647237194313
coolant_ewms_8895,0.0024401259191285133
coolant_ewms_2161,0.0024110386344157733
torque_ewma_2161,0.0022787802574054067
torque_ewma_4000,0.002254298277033691
i_s_x_w_ewms_500,0.002163293641280484
i_s_x_w_ewma_4000,0.0021587163134243388
i_q,0.002114191511514914
u_s_ewms_2161,0.002050267170230672
profile_id_ewms_2161,0.0020212645488704504
i_s_ewms_4000,0.002010327638587025
S_x_w_ewma_2161,0.001999038285075051
motor_speed,0.0019632690327976037
u_d_ewms_500,0.0019410332092937746
P_el_ewma_2161,0.0019155218562666796
i_d_ewma_8895,0.0019006618892645226
u_q_ewms_4000,0.0018620894509967332
u_d_ewma_500,0.0018156918858377366
torque,0.001801325404117554
profile_id_ewma_500,0.00176329836805337
S_x_w_ewms_500,0.0017611424527481012
i_s_x_w_ewma_500,0.0016969295648058718
u_q,0.0016492388098372712
i_d_ewms_8895,0.0016473979102925526
u_d_ewma_2161,0.0015389641023251033
u_s_ewma_2161,0.0015383271112083695
i_q_ewma_8895,0.0015284196747124036
torque_ewms_2161,0.0014989190117287005
i_s_ewma_500,0.0014949256726729022
S_x_w_ewms_4000,0.0014909164327856523
i_s_ewms_2161,0.001443648895729983
u_q_ewms_500,0.0014413586777625124
i_s,0.001396212189442653
i_d,0.00136012707380497
i_d_ewma_500,0.0013526199373118633
motor_speed_ewms_4000,0.0013235709009267464
u_q_ewms_2161,0.001315856958246797
u_q_ewma_8895,0.0013087770755018293
coolant_ewms_4000,0.0012885453990567717
S_el_ewma_2161,0.001284665673305911
motor_speed_ewms_2161,0.001238381247148617
ambient_ewms_2161,0.001161457436865564
ambient_ewms_4000,0.0011069299605145969
S_el_ewms_4000,0.0010530617756498153
profile_id_ewms_4000,0.0010422709840002859
ambient_ewms_8895,0.0010065890591397114
P_el_ewms_4000,0.0009649576611013778
i_q_ewms_2161,0.0009560062281436948
motor_speed_ewms_8895,0.0009379706281466767
torque_ewma_8895,0.0009336936168361445
i_d_ewms_500,0.0009314458202006749
profile_id,0.0008536442320526326
u_s_ewma_8895,0.0008479734129554794
coolant_ewms_500,0.00084575002643783
S_el_ewms_2161,0.0008287167827780728
profile_id_ewma_8895,0.0007449815201772924
torque_ewms_4000,0.0007434560899620027
P_el_ewma_500,0.0007216437568607664
S_x_w_ewma_8895,0.0006656787057324605
i_s_ewma_8895,0.0006166176968709718
P_el_ewma_8895,0.0005800939101460368
i_q_ewms_4000,0.0005416266311935483
i_s_ewms_8895,0.00052334881341115
u_q_ewma_4000,0.0004990681021542736
i_s_ewma_4000,0.00047843384231986317
profile_id_ewms_8895,0.0004771121874901662
motor_speed_ewma_4000,0.000476968337776987
i_s_x_w_ewms_8895,0.00046602300022940426
u_s_ewma_4000,0.000432215534468307
u_s,0.00041335460950607273
motor_speed_ewma_500,0.00040174345403736086
i_d_ewms_4000,0.0003701014175878733
ambient_ewms_500,0.0003343632609356493
motor_speed_ewms_500,0.00029045251357149275
u_s_ewms_500,0.00027096695156941407
u_s_ewms_8895,0.00026699538368646846
u_q_ewma_500,0.00024156330531402824
u_s_ewms_4000,0.00022856052076444984
u_s_ewma_500,0.00021102342357413756
i_s_ewma_2161,0.00018755147290938358
