epoch,loss,lr,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.30999475717544556,0.00014,0.3995576500892639,0.03429373353719711,0.13607245683670044
1,0.10035452246665955,0.00014,0.238864004611969,0.0342065691947937,0.1377715915441513
2,0.07247833162546158,0.00014,0.19997592270374298,0.047732166945934296,0.1706819087266922
3,0.06076453998684883,0.00014,0.18083876371383667,0.05772457644343376,0.18808124959468842
4,0.052735585719347,0.00014,0.16626307368278503,0.052827127277851105,0.18056908249855042
5,0.04738197475671768,0.00014,0.15580663084983826,0.047530967742204666,0.17161311209201813
6,0.042906343936920166,0.00014,0.14704670011997223,0.05281640589237213,0.18057651817798615
7,0.04118870571255684,0.00014,0.14363262057304382,0.05856069177389145,0.18899869918823242
8,0.03776610642671585,0.00014,0.1360449492931366,0.046163324266672134,0.16774921119213104
9,0.03641679510474205,0.00014,0.13292750716209412,0.04058440029621124,0.15696226060390472
10,0.034765154123306274,0.00014,0.12972892820835114,0.04693581908941269,0.169657364487648
11,0.03380068764090538,1.4e-05,0.12751418352127075,0.04047352075576782,0.15644849836826324
12,0.029514336958527565,1.4e-05,0.11639979481697083,0.0397052988409996,0.1544131636619568
13,0.028565185144543648,1.4e-05,0.11383435875177383,0.038913190364837646,0.15255004167556763
14,0.02800234779715538,1.4e-05,0.11232694238424301,0.038289643824100494,0.1511622816324234
15,0.027551395818591118,1.4e-05,0.11109601706266403,0.03767542168498039,0.14981797337532043
16,0.02717619016766548,1.4e-05,0.11008348315954208,0.0371372327208519,0.14863821864128113
17,0.026825392618775368,1.4e-05,0.10915840417146683,0.03661802038550377,0.14745457470417023
18,0.026553615927696228,1.4e-05,0.10839543491601944,0.036182090640068054,0.1465267539024353
19,0.026287108659744263,1.4e-05,0.10766740143299103,0.035747427493333817,0.1455136090517044
20,0.02601206861436367,1.4e-05,0.10697583854198456,0.03547310829162598,0.14489632844924927
21,0.025831636041402817,1.4e-06,0.10734492540359497,0.03718480467796326,0.14897389709949493
